Fold,MAE,MSE,R2,MAPE
1,0.08634192584420025,0.017175723697646965,0.8870803599792765,0.7272926161381685
2,0.08467981322323334,0.025223806895484032,0.8274664694402578,0.7097616291933897
3,0.08738887842250709,0.02270760821950414,0.8583259206396664,0.7309292346783867
4,0.08043353134128191,0.0144902708113909,0.9120009892066717,0.6743974456955354
5,0.09392246944845936,0.03564246230471898,0.8028596802768554,0.8003417165854451
Promedio,0.08655332365593638,0.023047974385749005,0.8575466839085456,0.7285445284581852
