Fold,MAE,MSE,R2,MAPE
1,14687.843754977248,503448117.4523873,0.923546377677705,8.894574170657869
2,14513.131483219564,494181210.3922321,0.9142519389502186,8.301649126182188
3,16168.027777303747,915613272.9343431,0.8594429823039028,9.771733953949289
4,14609.460435153584,502959883.8442397,0.9186093324792333,8.814631934090778
5,18221.486072241183,1339496133.8929288,0.8032865671395466,13.04795816911166
Promedio,15639.989904579066,751139723.7032263,0.8838274397101212,9.766109470798357
