Fold,MAE,MSE,R2,MAPE
1,14779.978792269152,404367783.38480365,0.9256662214986344,8.993750664198865
2,17333.48552004106,950760154.4468945,0.8296679108705337,9.950508779797005
3,16919.227672043824,998155565.1551832,0.849420820948562,9.304753146894672
4,15645.899756665307,544746624.0420122,0.9094894450616821,8.811177946123518
5,17113.416750279932,948023308.2568566,0.8427237574016866,11.065124738878623
Promedio,16358.401698259855,769210687.05715,0.8713936311562197,9.625063055178536
