Fold,MAE,MSE,R2,MAPE
1,0.08057299619791353,0.011599733088642568,0.9237390104915674,0.6768858245356147
2,0.08111791866600011,0.014721633833563761,0.8993024537716686,0.6797582682717034
3,0.08097199933714996,0.013055936252667521,0.91854325955848,0.6757510327609432
4,0.07974919609097925,0.013493510138784153,0.918054288991665,0.6676795022353985
5,0.08740089102889288,0.032926321418339795,0.8178827973156297,0.7462914645757969
Promedio,0.08196260026418714,0.017159426946399558,0.8955043620258021,0.6892732184758913
