Fold,MAE,MSE,RMSE,R2,MAPE,Tiempo_seg
1,13101.20006627363,321556057.2519969,17931.984197293863,0.9408892653725671,7.8163355993475365,0.05672502517700195
2,14306.363139242796,526029223.2293968,22935.32697018721,0.9057599794051758,8.399900680429237,0.056514739990234375
3,14511.08312938111,574129088.1562248,23960.990967742233,0.9133883637159561,8.067549977438828,0.06868314743041992
4,13852.326670985563,422844056.07199615,20563.172325105777,0.9297437588810207,8.055080712609978,0.05606675148010254
5,16613.301261529134,2473577344.5650735,49735.07157494672,0.5896356691431647,11.150583037252257,0.08554649353027344
Promedio,14476.854853482448,863627153.8549378,27025.309207055157,0.8558834073035768,8.697890001415567,0.06470723152160644
