train_size,train_score_mean,train_score_std,val_score_mean,val_score_std
187,0.005639213932606701,0.0004408957720156229,0.02144775149272397,0.008349644969733913
375,0.007918371489494556,0.0005970955623116202,0.020551627129895448,0.00818207549877814
562,0.009073568683670393,0.0004997423272039422,0.0185665523696794,0.008319807185831902
750,0.00925039638734142,0.0008924739204070917,0.018017512738055068,0.008198759317505766
937,0.010766371696328285,0.0013958945650213745,0.018185037120701388,0.008010317136706266
1125,0.010553238326129973,0.0011293584780630288,0.017779241182971767,0.00817300115906171
1312,0.010797830732058662,0.001211478048434242,0.017573725956501723,0.008228911577724528
1500,0.010998222691881276,0.0010244738414929954,0.017407070815589516,0.008176997176330724
1687,0.010841655773147671,0.0009913743753290237,0.01723415300891986,0.008399132332052094
1875,0.010656351402716115,0.000907340314662635,0.01678470191292266,0.008206117097335408
