Variable,Coeficiente,Importancia
Roof Matl_WdShake,-0.0,0.0
Roof Matl_WdShngl,0.0,0.0
Exterior 1st_AsphShn,0.0,0.0
Exterior 1st_BrkComm,0.0,0.0
Exterior 1st_BrkFace,0.07357017144341042,0.07357017144341042
Exterior 1st_CBlock,-0.0,0.0
Exterior 1st_CemntBd,0.0,0.0
Exterior 1st_HdBoard,-0.0,0.0
Exterior 1st_ImStucc,-0.0,0.0
Exterior 1st_MetalSd,0.0,0.0
Exterior 1st_Plywood,-0.0,0.0
Exterior 1st_PreCast,0.0,0.0
Exterior 1st_Stone,0.0,0.0
Exterior 1st_Stucco,-0.0,0.0
Exterior 1st_VinylSd,0.00339850452993801,0.00339850452993801
Exterior 1st_Wd Sdng,0.0,0.0
Exterior 1st_WdShing,0.0,0.0
Exterior 2nd_AsphShn,0.0,0.0
Exterior 2nd_Brk Cmn,0.0,0.0
Exterior 2nd_BrkFace,-0.0,0.0
Exterior 2nd_CBlock,-0.0,0.0
Exterior 2nd_CmentBd,0.0,0.0
Exterior 2nd_HdBoard,-0.0,0.0
Exterior 2nd_ImStucc,0.0,0.0
Exterior 2nd_MetalSd,0.012994890928182436,0.012994890928182436
Exterior 2nd_Other,0.0,0.0
Exterior 2nd_Plywood,-0.0,0.0
Exterior 2nd_PreCast,0.0,0.0
Exterior 2nd_Stone,-0.0,0.0
Exterior 2nd_Stucco,-0.0,0.0
Exterior 2nd_VinylSd,0.0,0.0
Exterior 2nd_Wd Sdng,0.0,0.0
Exterior 2nd_Wd Shng,0.0,0.0
Mas Vnr Type_BrkFace,-0.00025708489604753015,0.00025708489604753015
Mas Vnr Type_CBlock,-0.0,0.0
Mas Vnr Type_None,0.00024990110639806805,0.00024990110639806805
Mas Vnr Type_Stone,0.0,0.0
Exter Qual_Fa,-0.0,0.0
Exter Qual_Gd,0.0,0.0
Exter Qual_TA,-0.007639626517124375,0.007639626517124375
Exter Cond_Fa,-0.020120657182916363,0.020120657182916363
Exter Cond_Gd,0.0,0.0
Exter Cond_Po,-0.0,0.0
Exter Cond_TA,0.019995955899977144,0.019995955899977144
Foundation_CBlock,0.0,0.0
Foundation_PConc,0.018888462100962726,0.018888462100962726
Foundation_Slab,-0.0,0.0
Foundation_Stone,0.0,0.0
Foundation_Wood,-0.0,0.0
Bsmt Qual_Fa,-0.023966803046055182,0.023966803046055182
Bsmt Qual_Gd,-0.021021295312770045,0.021021295312770045
Bsmt Qual_None,0.0,0.0
Bsmt Qual_Po,0.0,0.0
Bsmt Qual_TA,-0.01635797233716661,0.01635797233716661
Bsmt Cond_Fa,-0.0,0.0
Bsmt Cond_Gd,0.0,0.0
Bsmt Cond_None,0.0,0.0
Bsmt Cond_Po,0.0,0.0
Bsmt Cond_TA,0.0,0.0
Bsmt Exposure_Gd,0.031896391265015,0.031896391265015
Bsmt Exposure_Mn,-0.020692452306239933,0.020692452306239933
Bsmt Exposure_No,-0.027311298049720073,0.027311298049720073
Bsmt Exposure_None,0.0,0.0
BsmtFin Type 1_BLQ,-0.0006994289415774472,0.0006994289415774472
BsmtFin Type 1_GLQ,0.0021283971494548055,0.0021283971494548055
BsmtFin Type 1_LwQ,-0.0063143316387257445,0.0063143316387257445
BsmtFin Type 1_None,0.0,0.0
BsmtFin Type 1_Rec,-0.005544989744572351,0.005544989744572351
BsmtFin Type 1_Unf,0.0,0.0
BsmtFin Type 2_BLQ,-0.0,0.0
BsmtFin Type 2_GLQ,0.0,0.0
BsmtFin Type 2_LwQ,0.0,0.0
BsmtFin Type 2_None,0.0,0.0
BsmtFin Type 2_Rec,-0.0,0.0
BsmtFin Type 2_Unf,0.0,0.0
Heating_GasA,0.0,0.0
Heating_GasW,0.0,0.0
Heating_Grav,-0.0,0.0
Heating_OthW,-0.0,0.0
Heating_Wall,-0.0,0.0
Heating QC_Fa,-0.0026298620230440933,0.0026298620230440933
Heating QC_Gd,-0.0,0.0
Heating QC_Po,-0.0,0.0
Heating QC_TA,-0.019782740794575888,0.019782740794575888
Central Air_Y,0.054033350945990884,0.054033350945990884
Electrical_FuseF,-0.0,0.0
Electrical_FuseP,0.0,0.0
Electrical_Mix,-0.0,0.0
Electrical_SBrkr,0.0018719846902570873,0.0018719846902570873
Kitchen Qual_Fa,-0.04292603584098458,0.04292603584098458
Kitchen Qual_Gd,-0.035616438647387755,0.035616438647387755
Kitchen Qual_Po,0.0,0.0
Kitchen Qual_TA,-0.048062538526334506,0.048062538526334506
Functional_Maj2,-0.0,0.0
Functional_Min1,0.0,0.0
Functional_Min2,0.0065423952324143945,0.0065423952324143945
Functional_Mod,0.0,0.0
Functional_Sal,-0.18589323418072684,0.18589323418072684
Functional_Sev,-0.0,0.0
Functional_Typ,0.04589592105993296,0.04589592105993296
Fireplace Qu_Fa,0.0,0.0
Fireplace Qu_Gd,0.0,0.0
Fireplace Qu_None,-0.0032039032932611846,0.0032039032932611846
Fireplace Qu_Po,-0.0,0.0
Fireplace Qu_TA,-0.0,0.0
Garage Type_Attchd,0.001660075608687675,0.001660075608687675
Garage Type_Basment,-0.0,0.0
Garage Type_BuiltIn,-0.0,0.0
Garage Type_CarPort,-0.0,0.0
Garage Type_Detchd,0.003870080300854052,0.003870080300854052
Garage Type_None,0.0,0.0
Garage Finish_None,0.0,0.0
Garage Finish_RFn,-0.00465534104511577,0.00465534104511577
Garage Finish_Unf,-0.0037642494466402637,0.0037642494466402637
Garage Qual_Fa,-0.0,0.0
Garage Qual_Gd,0.0,0.0
Garage Qual_None,0.0,0.0
Garage Qual_Po,-0.0,0.0
Garage Qual_TA,-0.0,0.0
Garage Cond_Fa,-0.02730916542163908,0.02730916542163908
Garage Cond_Gd,0.0,0.0
Garage Cond_None,0.0,0.0
Garage Cond_Po,-0.026429859394906878,0.026429859394906878
Garage Cond_TA,0.01895342208137536,0.01895342208137536
Paved Drive_P,-0.0,0.0
Paved Drive_Y,0.022457675169076086,0.022457675169076086
Pool QC_Fa,0.0,0.0
Pool QC_Gd,-0.0,0.0
Pool QC_None,0.0,0.0
Pool QC_TA,0.0,0.0
Fence_GdWo,-0.011261052707928546,0.011261052707928546
Fence_MnPrv,0.0,0.0
Fence_MnWw,-0.0,0.0
Fence_None,-0.0,0.0
Misc Feature_Gar2,0.0,0.0
Misc Feature_None,-0.0,0.0
Misc Feature_Othr,0.0,0.0
Misc Feature_Shed,0.0,0.0
Misc Feature_TenC,0.0,0.0
Mo Sold_10,-0.003914182372128607,0.003914182372128607
Mo Sold_11,-0.0,0.0
Mo Sold_12,-0.0,0.0
Mo Sold_2,-0.010866366107096374,0.010866366107096374
Mo Sold_3,-0.0,0.0
Mo Sold_4,-0.0,0.0
Mo Sold_5,0.005916915598703812,0.005916915598703812
Mo Sold_6,0.0009294180329518754,0.0009294180329518754
Mo Sold_7,0.007912809599729719,0.007912809599729719
Mo Sold_8,0.0,0.0
Mo Sold_9,0.0009092846281853138,0.0009092846281853138
Yr Sold_2007,-0.0,0.0
Yr Sold_2008,-0.007250812056267889,0.007250812056267889
Yr Sold_2009,-0.012327409474882077,0.012327409474882077
Yr Sold_2010,-0.0034535347160992674,0.0034535347160992674
Sale Type_CWD,0.0,0.0
Sale Type_Con,0.0,0.0
Sale Type_ConLD,0.0,0.0
Sale Type_ConLI,-0.0,0.0
Sale Type_ConLw,0.0,0.0
Sale Type_New,0.04161527454800358,0.04161527454800358
Sale Type_Oth,0.0,0.0
Sale Type_VWD,-0.0,0.0
Sale Type_WD ,-0.0,0.0
Sale Condition_AdjLand,0.0,0.0
Sale Condition_Alloca,0.0,0.0
Sale Condition_Family,0.0,0.0
Sale Condition_Normal,0.07001457434646795,0.07001457434646795
Sale Condition_Partial,0.04999237291953887,0.04999237291953887
