Fold,MAE,MSE,R2,MAPE
1,13187.57779028266,329290924.54825836,0.9394673867364282,8.318539112013571
2,16546.68467715667,1021557104.7222621,0.816984383497204,9.443311509355635
3,15755.92297050371,1012848077.1531146,0.8472043464108401,8.575885289921017
4,14121.166605208267,445138966.89912677,0.9260394224754255,8.326168824225796
5,15576.874976414614,786479172.6908207,0.8695237890405025,10.156523243332114
Promedio,15037.645403913184,719062849.2027165,0.8798438656320802,8.964085595769626
