mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_early_stopping,param_l1_ratio,param_max_iter,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11247153282165527,0.0328174007135321,0.005433177947998047,0.0002160552584077767,1e-05,True,0.1,1000,l2,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-479077061.93053377,-905330043.5852724,-715469411.8813609,-556408930.7695274,-1504967573.4496036,-832250604.3232596,366700627.71058536,16
0.1473923683166504,0.02884210572050921,0.005481100082397461,0.0001549855446465009,1e-05,True,0.1,1000,l1,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-479076069.4673129,-905320086.3210148,-715457757.6440271,-556394220.386526,-1504983521.2102818,-832246331.0058326,366709228.74567497,1
0.13425683975219727,0.02983529269692171,0.005412149429321289,0.00012352626494311524,1e-05,True,0.1,1000,elasticnet,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.001}",-479076962.49743533,-905329047.751217,-715468246.2338915,-556407459.6387353,-1504969167.9740038,-832250176.8190566,366701487.77558464,15
0.08116273880004883,0.016559175868223197,0.00586233139038086,0.0008842746352355881,1e-05,True,0.5,1000,l2,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-479077061.93053377,-905330043.5852724,-715469411.8813609,-556408930.7695274,-1504967573.4496036,-832250604.3232596,366700627.71058536,16
0.1456982135772705,0.041344785177676174,0.005394268035888672,8.778433511149018e-05,1e-05,True,0.5,1000,l1,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-479076069.4673129,-905320086.3210148,-715457757.6440271,-556394220.386526,-1504983521.2102818,-832246331.0058326,366709228.74567497,1
0.1350165367126465,0.026810296578484303,0.0053902149200439455,0.0001357067494136233,1e-05,True,0.5,1000,elasticnet,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.001}",-479076565.18350035,-905325064.6539708,-715463584.1406099,-556401575.3210716,-1504975546.6307695,-832248467.1859844,366704928.1205027,14
0.07987442016601562,0.01727610808243946,0.005329227447509766,0.00011633718547269714,1e-05,True,0.9,1000,l2,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.9, 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-479077061.93053377,-905330043.5852724,-715469411.8813609,-556408930.7695274,-1504967573.4496036,-832250604.3232596,366700627.71058536,16
0.14537734985351564,0.03473984838742448,0.0053615570068359375,0.00010203201019211483,1e-05,True,0.9,1000,l1,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.9, 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-479076069.4673129,-905320086.3210148,-715457757.6440271,-556394220.386526,-1504983521.2102818,-832246331.0058326,366709228.74567497,1
0.1359408378601074,0.026990927290650443,0.005414915084838867,0.00010229100670668208,1e-05,True,0.9,1000,elasticnet,0.001,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.9, 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.001}",-479076168.527016,-905321081.939701,-715458922.843225,-556395691.3322945,-1504981926.1824393,-832246758.1649352,366708368.6036388,10
0.0802039623260498,0.014867802233924641,0.005387735366821289,0.00014197448233782073,0.0001,True,0.1,1000,l2,0.001,"{'alpha': 0.0001, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-479086179.1731767,-905419779.5705223,-715574543.5800786,-556541453.7349639,-1504824265.4749918,-832289244.3067467,366623239.9825255,22
0.14383993148803711,0.0267066881691032,0.005494546890258789,0.00022695938028020427,0.0001,True,0.1,1000,l1,0.001,"{'alpha': 0.0001, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-479076067.9541096,-905320098.8872937,-715457777.9584732,-556394257.5080935,-1504983491.5475564,-832246338.7711053,366709211.77577627,4
0.15442137718200682,0.029677819130142707,0.006601476669311523,0.0011903746581528746,0.0001,True,0.1,1000,elasticnet,0.001,"{'alpha': 0.0001, 'early_stopping': True, 'l1_ratio': 0.1, 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.001}",-479085149.414534,-905409800.7276956,-715562844.7296062,-556526724.879166,-1504840162.9908328,-832284936.5483669,366631833.3230899,21
0.08205785751342773,0.014996059621593987,0.0058730125427246095,0.0007375217589266053,0.0001,True,0.5,1000,l2,0.001,"{'alpha': 0.0001, 'early_stopping': True, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-479086179.1731767,-905419779.5705223,-715574543.5800786,-556541453.7349639,-1504824265.4749918,-832289244.3067467,366623239.9825255,22
