Fold,MAE,MSE,R2,MAPE
1,14905.501063708756,501832657.46874696,0.9237917014026024,8.94574573358594
2,15059.498964732653,542456544.8511398,0.9058754239404806,8.464133107488463
3,15929.464971558587,906727663.0930593,0.8608070241506307,9.69526251776386
4,15006.526484641638,514163031.13981175,0.9167964013369904,8.702993536942985
5,18525.327986348122,1629983366.165576,0.7606266898792722,12.600956988876597
Promedio,15885.26389419795,819032652.5436667,0.8735794481419952,9.681818376931568
