Fold,MAE,MSE,R2,MAPE
1,0.07719558061106511,0.010642180444111029,0.9300343201870888,0.6471624780684175
2,0.08247455231067354,0.014626906972459821,0.8999503956090298,0.6904627307293296
3,0.08062672806005151,0.013414749835063,0.916304600891461,0.6731690199281504
4,0.07976500769996146,0.012925577905952204,0.9215033256133663,0.667433190070326
5,0.09025147580806739,0.03392784338459276,0.8123433270358023,0.7703867720121821
Promedio,0.0820626688979638,0.01710745170843576,0.8960271938673496,0.6897228381616811
