Fold,MAE,MSE,RMSE,R2,MAPE
1,13837.164529777614,399682251.27018934,19992.054703561345,0.9265275495289076,0.08769396289629963
2,13876.48307195639,580451997.2505674,24092.571412171168,0.8960099443917295,0.08422357326790096
3,14852.232205601913,570603026.1464807,23887.298427124,0.91392029635376,0.08497186206056445
4,13447.472409064789,398515172.42200243,19962.844797823844,0.9337860432440732,0.07998999787976353
5,17794.003910089927,3116838340.7874103,55828.651611761234,0.48291922914136864,0.11716117027533618
Promedio,14761.471225298126,1013218157.57533,28752.684190488315,0.8306326125319679,0.09080811327597295
