Fold,MAE,MSE,R2,MAPE
1,16183.94687714601,475172188.77078605,0.912650449216217,10.363881453224858
2,17641.62883677956,828366358.5287542,0.8515951980603829,10.830673166689483
3,16989.4004737379,714006986.1135395,0.8922867441116225,10.029609434841896
4,15839.383877245475,506113510.5832945,0.9159084009281692,9.650061607936241
5,18881.72513144462,1380443866.1540325,0.770985562806678,12.28324114186502
Promedio,17107.217039270712,780820582.0300814,0.8686852710246139,10.6314933609115
