Fold,MAE,MSE,R2,MAPE
1,0.0881070166352458,0.0131896132201608,0.9132865430853914,0.7373307826516693
2,0.09104985009603374,0.0166181753112908,0.8863299077019546,0.7607991310017902
3,0.09387943485795013,0.01792530435097691,0.8881629907196853,0.7823316072312813
4,0.09818903062105033,0.0172309985445507,0.89535662606735,0.8187169120020698
5,0.1107245009446495,0.035825863523383544,0.8018452785619559,0.9375159365407387
Promedio,0.0963899666309859,0.02015799099007255,0.8769962692272675,0.80733887388551
