Variable,Coeficiente
Exterior 2nd_Stucco,-1965.8809127017844
Exterior 2nd_VinylSd,598.0357877119213
Exterior 2nd_Wd Sdng,762.2472753700946
Exterior 2nd_Wd Shng,592.0288077420198
Mas Vnr Type_BrkFace,2731.211651222276
Mas Vnr Type_CBlock,-840.1630182731915
Mas Vnr Type_None,14894.158189488198
Mas Vnr Type_Stone,2444.748938385607
Exter Qual_Fa,2754.7520822795027
Exter Qual_Gd,-6570.793113784084
Exter Qual_TA,-10531.502491783625
Exter Cond_Fa,2663.6020344269728
Exter Cond_Gd,5932.168152517374
Exter Cond_Po,-54.81045350307848
Exter Cond_TA,6798.332668552525
Foundation_CBlock,-385.1083987573867
Foundation_PConc,3526.2523119755683
Foundation_Slab,2281.291577231244
Foundation_Stone,2309.7468927437494
Foundation_Wood,-1564.9437444371176
Bsmt Qual_Fa,-2610.560026510581
Bsmt Qual_Gd,-16574.536119061937
Bsmt Qual_None,3618.8951737175853
Bsmt Qual_Po,429.660607155327
Bsmt Qual_TA,-10849.969632939346
Bsmt Cond_Fa,3859.6977255120332
Bsmt Cond_Gd,2882.3415873093654
Bsmt Cond_None,3618.8951737175853
Bsmt Cond_Po,243.7781832523362
Bsmt Cond_TA,5829.388412841092
Bsmt Exposure_Gd,13393.9155689495
Bsmt Exposure_Mn,-8044.091655202045
Bsmt Exposure_No,-8029.9558498174065
Bsmt Exposure_None,3271.3462412161743
BsmtFin Type 1_BLQ,-1016.5198032746854
BsmtFin Type 1_GLQ,4514.513542398908
BsmtFin Type 1_LwQ,-4295.112753646619
BsmtFin Type 1_None,3618.8951737175853
BsmtFin Type 1_Rec,-1589.5249150703187
BsmtFin Type 1_Unf,9588.99471786055
BsmtFin Type 2_BLQ,-1448.3410001468433
BsmtFin Type 2_GLQ,4424.286601338843
BsmtFin Type 2_LwQ,-2751.51748466194
BsmtFin Type 2_None,3618.8951737175853
BsmtFin Type 2_Rec,-1670.5749713180692
BsmtFin Type 2_Unf,10469.082331937085
Heating_GasA,12296.178834791765
Heating_GasW,3610.0534148439565
Heating_Grav,67.34803151482039
Heating_OthW,-904.102636302943
Heating_Wall,1382.170386633027
Heating QC_Fa,-538.7378483788514
Heating QC_Gd,-2750.493098388885
Heating QC_Po,-656.3843856513279
Heating QC_TA,-3809.4832780906618
Central Air_Y,1942.3166558445364
Electrical_FuseF,3024.5589986864816
Electrical_FuseP,1691.1465064217336
Electrical_Mix,0.0
Electrical_SBrkr,2728.476262597167
Kitchen Qual_Fa,-2132.541604693178
Kitchen Qual_Gd,-16792.045490146713
Kitchen Qual_Po,0.0
Kitchen Qual_TA,-14649.272369245327
Functional_Maj2,-557.8894303439483
Functional_Min1,212.34911116348886
Functional_Min2,4879.321672875067
Functional_Mod,1647.9869013497027
Functional_Sal,-105.84076420136704
Functional_Sev,-1022.8227469029102
Functional_Typ,15095.318631254002
Fireplace Qu_Fa,-4230.181863547068
Fireplace Qu_Gd,-944.0083654974101
Fireplace Qu_None,3709.995860707828
Fireplace Qu_Po,207.42979931821822
Fireplace Qu_TA,-2674.556356078435
Garage Type_Attchd,3857.5062871437476
Garage Type_Basment,-1600.1242299076919
Garage Type_BuiltIn,4973.783603864215
