Fold,MAE,RMSE,R2,MAPE,Observaciones MAPE
1,13323.134410374309,17950.55793504542,0.9407667495515745,8.11480625673023,469
2,13977.545199662185,22504.64286230339,0.9092660639282988,8.308676712501342,469
3,14638.842021112376,23664.772551183196,0.9155166041981602,8.137241593164424,469
4,13598.67203573567,20167.570122482357,0.93242098903406,7.959404230049576,469
5,16183.004231391626,49571.5602908394,0.5923294985629165,10.879453782438894,468
