Fold,MAE,MSE,R2,MAPE
1,0.0805677600227434,0.011597668969360564,0.9237525807847548,0.6768408205627925
2,0.0811189897119759,0.014721197117816184,0.8993054409539798,0.6797663999359616
3,0.08097025462638482,0.013055665600280408,0.9185449481743572,0.6757364263396035
4,0.07974557014130848,0.01349191533257124,0.9180639742053487,0.6676489344975236
5,0.08740149485015296,0.032926942289319514,0.8178793632458283,0.7462972204662875
Promedio,0.08196081387051311,0.01715867786186958,0.8955092614728537,0.6892579603604337
